GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library-management,com.library,LibraryApplication,5,3,0,0,2,1,1,1,1,1
library-management,com.library.LibraryEntity.LibraryMmember,Member,0,69,0,0,0,17,0,11,0,11
library-management,com.library.LibraryEntity.LibraryMmember,AppUser,0,59,0,0,0,19,0,12,0,12
library-management,com.library.LibraryController,BorrowController,0,54,0,0,0,14,0,6,0,6
library-management,com.library.LibraryController,MemberController,0,39,0,0,0,11,0,5,0,5
library-management,com.library.LibraryController,BookController,0,59,0,0,0,15,0,7,0,7
library-management,com.library.LibraryController,AuthController,0,32,0,0,0,8,0,4,0,4
library-management,com.library.LibraryService,BookNotificationServiceImpl,0,29,0,0,0,6,0,3,0,3
library-management,com.library.LibraryService,MemberServiceImpl,0,101,0,0,0,19,0,8,0,8
library-management,com.library.LibraryService,AuthService,0,149,0,6,0,31,0,10,0,7
library-management,com.library.LibraryService,BookServiceImpl,0,183,0,2,0,37,0,11,0,10
library-management,com.library.LibraryService,BorrowServiceImpl,0,238,0,6,0,52,0,12,0,9
library-management,com.library.LibrarySecurity,JwtAuthFilter,0,76,1,9,0,22,1,6,0,2
library-management,com.library.LibrarySecurity,AuthBeansConfig,62,0,0,0,15,0,9,0,9,0
library-management,com.library.LibrarySecurity,SecurityConfig,73,0,0,0,14,0,7,0,7,0
library-management,com.library.LibrarySecurity,JwtService,0,95,1,3,0,22,1,10,0,9
library-management,com.library.LibraryEntity,BorrowRecord,95,0,2,0,20,0,14,0,13,0
library-management,com.library.LibraryDTO,BorrowRequest,0,26,0,0,0,9,0,6,0,6
library-management,com.library.LibraryDTO,AuthResponse,0,46,0,0,0,15,0,10,0,10
library-management,com.library.LibraryDTO,BookDTO,0,56,0,0,0,18,0,12,0,12
library-management,com.library.LibraryDTO,LoginRequest,0,26,0,0,0,9,0,6,0,6
library-management,com.library.LibraryDTO,UpdateCopiesRequest,0,16,0,0,0,6,0,4,0,4
library-management,com.library.LibraryDTO,RegisterRequest,0,36,0,0,0,12,0,8,0,8
library-management,com.library.LibraryDTO,PaddedIdSerializer,3,16,1,1,2,4,1,2,0,2
library-management,com.library.LibraryDTO,MemberRequest,0,26,0,0,0,9,0,6,0,6
library-management,com.library.LibraryDTO,MemberDTO,0,46,0,0,0,15,0,10,0,10
library-management,com.library.LibraryDTO,BorrowRecordDTO,0,76,0,0,0,24,0,16,0,16
library-management,com.library.LibraryDTO,BookRequest,0,36,0,0,0,12,0,8,0,8
library-management,com.library.LibraryCustomExceptions,GlobalExceptionHandler,70,125,0,0,14,26,4,8,4,8
library-management,com.library.LibraryCustomExceptions,ErrorResponse,0,43,0,0,0,14,0,9,0,9
library-management,com.library.LibraryCustomExceptions,BorrowLimitExceededException,0,4,0,0,0,2,0,1,0,1
library-management,com.library.LibraryCustomExceptions,BookNotAvailableException,0,4,0,0,0,2,0,1,0,1
library-management,com.library.LibraryCustomExceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
library-management,com.library.LibraryCustomExceptions,InvalidOperationException,0,4,0,0,0,2,0,1,0,1
library-management,com.library.LibraryCustomExceptions,BookAlreadyReturnedException,0,4,0,0,0,2,0,1,0,1
library-management,com.library.LibraryEntity.LibraryCatalog,Book,0,85,0,0,0,19,0,13,0,13
library-management,com.library.LibraryEntity.LibraryCatalog,BorrowRecord,0,95,0,2,0,20,0,14,0,13
library-management,com.library.LibraryDatabaseConfig,MemberDatasourceConfig,66,0,0,0,18,0,5,0,5,0
library-management,com.library.LibraryDatabaseConfig,AsyncConfig,23,0,0,0,8,0,2,0,2,0
library-management,com.library.LibraryDatabaseConfig,CatalogDatasourceConfig,66,0,0,0,18,0,5,0,5,0
library-management,com.library.LibraryDatabaseConfig,CacheConfig,48,0,0,0,7,0,2,0,2,0
